target_stem,residual_stem,score_target,score_forged
E_0003899938,E_0000068801,0.0,0.5871655344963074
E_0003918928,E_0000077580,0.06822501868009567,0.28491339087486267
E_0003937243,E_0000078124,0.0,0.5945437550544739
E_0003974242,E_0000106887,0.0,0.26676490902900696
E_0004036220,E_0000246429,0.0,0.5341435074806213
E_0004040465,E_0000257343,0.0,0.1941312849521637
E_0004056257,E_0000277012,0.0,0.22522152960300446
E_0004130722,E_0000351484,0.07790922373533249,0.35781654715538025
E_0004142801,E_0000421660,0.0027259746566414833,0.6409177184104919
E_0004152212,E_0000430642,0.0,0.2701268196105957
E_0004158061,E_0000439319,0.0663905143737793,0.6726198792457581
E_0004199501,E_0000485164,0.07007366418838501,0.7107728719711304
E_0004237385,E_0000551472,0.2342948019504547,0.4838124215602875
E_0004271474,E_0000627064,0.0,0.3668728470802307
E_0004291424,E_0000657716,0.0003719357482623309,0.39434656500816345
E_0004332877,E_0000684645,0.0,0.04623068496584892
E_0004383331,E_0000688823,0.0,0.1479933112859726
E_0004395059,E_0000704813,0.0018269283464178443,0.2948130965232849
E_0004427089,E_0000709671,0.0,0.0677521824836731
E_0004467207,E_0000735976,0.0,0.5667001605033875
E_0004539933,E_0000736300,0.0,0.07561323046684265
E_0004660757,E_0000786443,0.0,0.15108650922775269
E_0004685199,E_0000791113,0.0,0.3445110321044922
E_0004687768,E_0000824730,0.0,0.41000038385391235
E_0004799770,E_0000891828,0.0,0.3165408670902252
E_0004813037,E_0000957163,0.031604062765836716,0.21343813836574554
E_0004837668,E_0001047147,0.0,0.2968999147415161
E_0004912869,E_0001060500,0.32764381170272827,0.48199325799942017
E_0004926975,E_0001164835,0.00024558795848861337,0.2675108313560486
E_0005073239,E_0001255274,0.0,0.23048460483551025
E_0005177117,E_0001269259,0.023350752890110016,0.4622950255870819
E_0005226072,E_0001270528,0.0,0.22137469053268433
E_0005335968,E_0001291814,0.0,0.10270950943231583
E_0005337995,E_0001292524,0.0,0.2815816402435303
E_0005411438,E_0001316732,0.00965997762978077,0.5818942189216614
E_0005414533,E_0001317040,0.0,0.7132784128189087
E_0005439429,E_0001436097,0.0,0.32902461290359497
E_0005445065,E_0001436568,0.11758600920438766,0.36564281582832336
E_0005488466,E_0001438350,0.0,0.22511187195777893
E_0005506690,E_0001443220,0.0,0.21315963566303253
E_0005532275,E_0001521738,0.06221461296081543,0.41417843103408813
E_0005639152,E_0001585210,0.0,0.32582715153694153
E_0005646317,E_0001595909,0.0,0.31111857295036316
E_0005768825,E_0001664811,0.0,0.07315713912248611
E_0005838984,E_0001767450,0.0,0.5002422332763672
E_0005870435,E_0001920630,0.0,0.2315836250782013
E_0005904455,E_0002000261,0.0,0.42427995800971985
E_0005922616,E_0002018664,0.0,0.26603618264198303
E_0005936204,E_0002072198,0.0,0.12105684727430344
E_0005951172,E_0002138252,0.0,6.784194556530565e-05
E_0005990368,E_0002141439,0.15295666456222534,0.6526600122451782
E_0006009442,E_0002144931,0.004290349315851927,0.10696377605199814
E_0006035457,E_0002159850,0.0,0.33912667632102966
E_0006051703,E_0002219449,0.0,0.4424748420715332
E_0006117356,E_0002243055,0.0,0.3109032213687897
E_0006199198,E_0002276859,0.0,0.4156278371810913
E_0006252764,E_0002283723,0.0017495889915153384,0.17050768435001373
E_0006306557,E_0002303766,0.0,0.38934484124183655
E_0006307163,E_0002462619,0.029606789350509644,0.3835446834564209
E_0006322730,E_0002480871,0.0,0.4610256552696228
E_0006331990,E_0002534133,0.0,0.5075434446334839
E_0006343730,E_0002630776,0.0,0.4671086072921753
E_0006380916,E_0002656973,0.023998554795980453,0.34657442569732666
E_0006383524,E_0002680054,0.3494340479373932,0.5218945145606995
E_0006486824,E_0002725754,0.021756136789917946,0.2811390459537506
E_0006493105,E_0002859244,0.1606093794107437,0.5490651726722717
E_0006549692,E_0002863972,0.0,0.009732790291309357
E_0006568546,E_0002886025,0.0,0.41640719771385193
E_0006569211,E_0002912954,0.0012750111054629087,0.25272879004478455
E_0006572936,E_0002915842,0.002928966423496604,0.15872208774089813
E_0006633663,E_0003062603,0.22060826420783997,0.3948761820793152
E_0006656507,E_0003093582,0.05740093067288399,0.6459061503410339
E_0006680030,E_0003114464,0.0,0.15305018424987793
E_0006801696,E_0003175356,0.0017420272342860699,0.40323132276535034
E_0006839596,E_0003192071,0.00039240127080120146,0.1861443817615509
E_0006967861,E_0003238793,0.0,0.3826292157173157
E_0006971268,E_0003245853,0.0,0.6309910416603088
E_0007074049,E_0003250772,0.018794959411025047,0.8141710758209229
E_0007123817,E_0003264376,0.0,0.25504401326179504
E_0007124632,E_0003340971,0.0017943590646609664,0.40958234667778015
E_0007164263,E_0003374849,0.06173799932003021,0.467121422290802
E_0007214881,E_0003386003,0.003751782001927495,0.4412161111831665
E_0007226810,E_0003410016,0.04675747826695442,0.412433922290802
E_0007345676,E_0003417392,0.0,0.2511915862560272
E_0007401217,E_0003422207,0.0017134551890194416,0.44241565465927124
E_0007476941,E_0003446314,0.0048920996487140656,0.18020756542682648
E_0007482419,E_0003451380,0.0,0.09381435811519623
E_0007501909,E_0003469451,0.0022022740449756384,0.2824057340621948
E_0007526735,E_0003598052,0.0,0.3773874044418335
E_0007632384,E_0003614368,0.0021604064386337996,0.38826698064804077
E_0007639374,E_0003617108,0.15277507901191711,0.24835973978042603
E_0007665319,E_0003655472,0.01410448458045721,0.2775183320045471
E_0007689277,E_0003669179,0.002490306505933404,0.1292363554239273
E_0007701030,E_0003705828,0.0,0.23680077493190765
E_0007707528,E_0003786480,0.0032383378129452467,0.3780221939086914
E_0007728666,E_0003800280,0.01856802962720394,0.1610693335533142
E_0007728797,E_0003814591,0.006916928105056286,0.490234375
E_0007753686,E_0003840147,0.004002249334007502,0.420732319355011
E_0007758447,E_0003858828,0.10519861429929733,0.2731761038303375
E_0007778192,E_0003864715,0.07990056276321411,0.53171306848526
