stem,score_original,score_watermarked,score_residual,residual_peak,residual_rms
E_0000068801,0.010771411471068859,1.0,0.5785497426986694,0.08149337768554688,0.006616860628128052
E_0000077580,0.007066910155117512,1.0,0.9417882561683655,0.047621726989746094,0.005050922278314829
E_0000078124,0.00035962191759608686,1.0,0.8217225074768066,0.07347297668457031,0.004893484991043806
E_0000106887,0.007151501253247261,1.0,0.9992069005966187,0.06757211685180664,0.004141674377024174
E_0000246429,0.003929920960217714,1.0,0.8675102591514587,0.05766952037811279,0.004214349668473005
E_0000257343,0.0779399499297142,1.0,0.9890570640563965,0.0782855749130249,0.005204237997531891
E_0000277012,0.0,1.0,0.8714383840560913,0.09638500213623047,0.006615671794861555
E_0000351484,0.05659600719809532,1.0,0.9454460740089417,0.06556558609008789,0.0061729722656309605
E_0000421660,0.006039970088750124,1.0,0.7685049176216125,0.08832287788391113,0.009478380903601646
E_0000430642,0.0,1.0,0.7420892119407654,0.09676110744476318,0.004302283748984337
E_0000439319,0.0014586291508749127,1.0,0.9229637384414673,0.037006378173828125,0.003630212740972638
E_0000485164,0.0,1.0,0.8899571895599365,0.06891143321990967,0.0058760009706020355
E_0000551472,0.0,1.0,0.9989631175994873,0.0411609411239624,0.004863941576331854
E_0000627064,0.0,1.0,0.9837098717689514,0.038007259368896484,0.0024411885533481836
E_0000657716,0.0032143695279955864,1.0,0.8512216210365295,0.07795941829681396,0.006472356151789427
E_0000684645,0.0016498080221936107,1.0,0.7246984243392944,0.08969449996948242,0.004112424794584513
E_0000688823,0.27035632729530334,1.0,1.0,0.07225310802459717,0.005742178298532963
E_0000704813,0.0024006543681025505,1.0,0.938071608543396,0.043718814849853516,0.004646510351449251
E_0000709671,0.009630843065679073,1.0,0.5658648610115051,0.09881937503814697,0.00662011606618762
E_0000735976,0.045739319175481796,1.0,0.8543818593025208,0.07139909267425537,0.004663450177758932
E_0000736300,0.0007394979475066066,1.0,0.7440223693847656,0.04755258560180664,0.0037045322824269533
E_0000786443,0.0,1.0,0.8226090669631958,0.08116674423217773,0.00508530018851161
E_0000791113,0.0,1.0,0.896766722202301,0.07139360904693604,0.003363453783094883
E_0000824730,0.04043564945459366,1.0,0.9158222079277039,0.046574950218200684,0.0037663981784135103
E_0000891828,0.0,1.0,0.9235075116157532,0.042066335678100586,0.004603536333888769
E_0000957163,0.0,1.0,0.8386847376823425,0.04916393756866455,0.004166102968156338
E_0001047147,0.0,1.0,0.9424771070480347,0.06449413299560547,0.004810838494449854
E_0001060500,0.06529036909341812,1.0,0.8379917740821838,0.057526350021362305,0.005553408991545439
E_0001164835,0.00018052403174806386,1.0,0.6815943121910095,0.07597625255584717,0.008768775500357151
E_0001255274,0.0034498493187129498,1.0,0.8555280566215515,0.062088966369628906,0.00470984261482954
E_0001269259,0.02551610767841339,1.0,0.9324471950531006,0.06419205665588379,0.003890292951837182
E_0001270528,0.0,1.0,0.9338538646697998,0.040611863136291504,0.0031058569438755512
E_0001291814,0.0004342261527199298,1.0,0.9057576656341553,0.041010260581970215,0.0025764205493032932
E_0001292524,0.0,1.0,0.8041307330131531,0.05491995811462402,0.004458043724298477
