E_3806 E_0000014603 F C01 1 E_0005777251 AC3 A30 spoof -
E_3000 E_0000037116 M C01 5 E_0005952603 AC1 A19 spoof -
E_3069 E_0000068801 F - 0 - - bonafide bonafide -
E_4451 E_0000077580 F C01 3 E_0005467839 - bonafide bonafide -
E_4608 E_0000078124 M - 0 - - bonafide bonafide -
E_4145 E_0000106887 M - 0 - - bonafide bonafide -
E_4119 E_0000109302 M - 0 - AC2 A28 spoof -
E_0089 E_0000168096 M C01 1 E_0004032378 AC1 A19 spoof -
E_4808 E_0000181548 F C01 5 E_0004509573 AC2 A21 spoof -
E_3687 E_0000202886 F C01 2 E_0005305627 AC1 A28 spoof -
E_3806 E_0000227295 F C04 5 E_0007839334 AC2 A28 spoof -
E_4572 E_0000243667 F C01 1 E_0001434345 AC1 A19 spoof -
E_1186 E_0000246429 M C01 5 E_0009372673 - bonafide bonafide -
E_5278 E_0000257343 M C04 3 E_0007987487 - bonafide bonafide -
E_2343 E_0000277012 M C01 1 E_0000579438 - bonafide bonafide -
E_2020 E_0000292439 M - 0 - AC2 A30 spoof -
E_2882 E_0000302173 F C01 5 E_0007467315 AC2 A30 spoof -
E_3325 E_0000351484 F C04 3 E_0007596806 - bonafide bonafide -
E_4903 E_0000382391 F C04 2 E_0006816224 AC1 A28 spoof -
E_4869 E_0000418142 M - 0 - AC3 A19 spoof -
E_3699 E_0000421660 M - 0 - - bonafide bonafide -
E_0117 E_0000427470 M - 0 - AC1 A28 spoof -
E_5356 E_0000430642 F - 0 - - bonafide bonafide -
E_2281 E_0000439319 F C01 3 E_0009539216 - bonafide bonafide -
E_4783 E_0000443885 M C04 5 E_0007814976 AC3 A21 spoof -
E_5390 E_0000485164 F C01 3 E_0008895547 - bonafide bonafide -
E_5342 E_0000489018 M C01 4 E_0002198788 AC2 A30 spoof -
E_5118 E_0000540119 F - 0 - AC1 A30 spoof -
E_3466 E_0000551472 M - 0 - - bonafide bonafide -
E_3339 E_0000562839 M - 0 - AC2 A28 spoof -
E_4869 E_0000571047 M C04 1 E_0008654957 AC2 A19 spoof -
E_0611 E_0000579112 M - 0 - AC1 A28 spoof -
E_4451 E_0000588498 F - 0 - AC2 A21 spoof -
E_2405 E_0000613214 F C01 2 E_0005402937 AC1 A28 spoof -
E_2354 E_0000627064 F C01 2 E_0000490403 - bonafide bonafide -
E_1854 E_0000657716 M C01 5 E_0009413356 - bonafide bonafide -
E_4554 E_0000684645 F - 0 - - bonafide bonafide -
E_1139 E_0000688823 M C04 2 E_0009562067 - bonafide bonafide -
E_1791 E_0000688876 F - 0 - AC2 A19 spoof -
E_4119 E_0000693450 M - 0 - AC2 A21 spoof -
E_1115 E_0000704813 M C01 5 E_0006416146 - bonafide bonafide -
E_3441 E_0000709671 F C01 1 E_0009668670 - bonafide bonafide -
E_2333 E_0000719088 M C04 5 E_0008213584 AC3 A28 spoof -
E_4512 E_0000735976 F C04 1 E_0008257744 - bonafide bonafide -
E_4414 E_0000736300 F - 0 - - bonafide bonafide -
E_5258 E_0000740495 M - 0 - AC3 A19 spoof -
E_1028 E_0000786443 F C01 1 E_0005262826 - bonafide bonafide -
E_0615 E_0000791113 F C01 4 E_0008667127 - bonafide bonafide -
E_2155 E_0000797860 M - 0 - AC1 A28 spoof -
E_2749 E_0000824730 M C01 3 E_0009537657 - bonafide bonafide -
E_1133 E_0000841204 M - 0 - AC1 A28 spoof -
E_2296 E_0000853746 F - 0 - AC3 A30 spoof -
E_1170 E_0000860935 F C04 5 E_0005129669 AC1 A19 spoof -
E_5344 E_0000869262 F C01 3 E_0001717273 AC1 A21 spoof -
E_1133 E_0000891828 M - 0 - - bonafide bonafide -
E_4608 E_0000933854 M C01 1 E_0004956437 AC3 A19 spoof -
E_2783 E_0000957163 M C01 3 E_0004715005 - bonafide bonafide -
E_5118 E_0000960612 F C04 2 E_0002772288 AC2 A28 spoof -
E_5298 E_0001047147 F - 0 - - bonafide bonafide -
E_4561 E_0001060500 F C04 4 E_0009569864 - bonafide bonafide -
E_1028 E_0001161561 F C04 3 E_0004698113 AC3 A28 spoof -
E_1170 E_0001164835 F - 0 - - bonafide bonafide -
E_4414 E_0001178823 F C04 3 E_0001223889 AC2 A30 spoof -
E_1594 E_0001239116 M C04 1 E_0005430668 AC3 A19 spoof -
E_3687 E_0001253940 F C04 3 E_0005370341 AC2 A28 spoof -
E_4873 E_0001255274 M C01 1 E_0006759672 - bonafide bonafide -
E_1744 E_0001259916 M - 0 - AC2 A30 spoof -
